url,depart,arrive,cabin
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JBSHIHCAESA0NBSRoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0NBSXIHCAESA0JBSEABSANwAYIBCwj___________8BmAEB&curr=USD,BAH,CAI,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0NBSXIHCAESA0JBSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JBSHIHCAESA0NBSUABSANwAYIBCwj___________8BmAEB&curr=USD,CAI,BAH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JBSHIHCAESA01DVBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA01DVHIHCAESA0JBSEABSANwAYIBCwj___________8BmAEB&curr=USD,BAH,MCT,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA01DVHIHCAESA0JBSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JBSHIHCAESA01DVEABSANwAYIBCwj___________8BmAEB&curr=USD,MCT,BAH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JLS3IHCAESA0JBSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JBSHIHCAESA0JLS0ABSANwAYIBCwj___________8BmAEB&curr=USD,BKK,BAH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JBSHIHCAESA0JLSxoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JLS3IHCAESA0JBSEABSANwAYIBCwj___________8BmAEB&curr=USD,BAH,BKK,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JBSHIHCAESA0RBQxoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0RBQ3IHCAESA0JBSEABSANwAYIBCwj___________8BmAEB&curr=USD,BAH,DAC,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0RBQ3IHCAESA0JBSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JBSHIHCAESA0RBQ0ABSANwAYIBCwj___________8BmAEB&curr=USD,DAC,BAH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0pFRHIHCAESA0RBQxoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0RBQ3IHCAESA0pFREABSANwAYIBCwj___________8BmAEB&curr=USD,JED,DAC,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0RBQ3IHCAESA0pFRBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0pFRHIHCAESA0RBQ0ABSANwAYIBCwj___________8BmAEB&curr=USD,DAC,JED,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JPTXIHCAESA0JBSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JBSHIHCAESA0JPTUABSANwAYIBCwj___________8BmAEB&curr=USD,BOM,BAH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JBSHIHCAESA0JPTRoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JPTXIHCAESA0JBSEABSANwAYIBCwj___________8BmAEB&curr=USD,BAH,BOM,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JBSHIHCAESA0FNTRoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0FNTXIHCAESA0JBSEABSANwAYIBCwj___________8BmAEB&curr=USD,BAH,AMM,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0FNTXIHCAESA0JBSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JBSHIHCAESA0FNTUABSANwAYIBCwj___________8BmAEB&curr=USD,AMM,BAH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTAzLTEyMgJHRmoHCAESA01MRXIHCAESA0NNQhoiEgoyMDI1LTAzLTIwMgJHRmoHCAESA0NNQnIHCAESA01MRUABSANwAYIBCwj___________8BmAEB&curr=USD,MLE,CMB,Business
