url,depart,arrive,cabin
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0FNTXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0FNTUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",AMM,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA05CT3IHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA05CT0ABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",NBO,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0NBSXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0NBSUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",CAI,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA01IRHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA01IREABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",MHD,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA05KRnIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA05KRkABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",NJF,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhooEgoyMDI1LTEwLTAxMgJXWWoNCAMSCS9tLzAxOGs4cnIHCAESA01DVBooEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHINCAMSCS9tLzAxOGs4ckABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",THR,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA1pOWnIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA1pOWkABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",ZNZ,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0RBUnIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0RBUkABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",DAR,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0JFWXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0JFWUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",BEY,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0lLQXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0lLQUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",IKA,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0lTVHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0lTVEABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",IST,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA01MRXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA01MRUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",MLE,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0RNRXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0RNRUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",DME,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA1RaWHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA1RaWEABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",TZX,MCT,ECO
